Tabela 1;;;;;;;
RNN;RMSE;MAE;MAPE;sMAPE;MASE;U;R2
1;0,848;0,718;8,75;8,69;0,69;0,066;0,88
2;0,913;0,771;9,47;9,29;0,741;0,07;0,86
3;0,862;0,731;8,94;8,82;0,703;0,066;0,876
4;0,867;0,738;9,01;8,93;0,71;0,067;0,874
5;0,873;0,739;9,06;8,92;0,711;0,067;0,873
6;0,89;0,751;9,13;9,07;0,723;0,069;0,867
7;0,88;0,744;9,09;8,96;0,715;0,068;0,87
8;0,906;0,77;9,4;9,26;0,741;0,07;0,863
9;0,865;0,733;8,98;8,81;0,704;0,067;0,875
10;0,849;0,717;8,8;8,63;0,689;0,065;0,879
Mean;0,875;0,741;9,063;8,938;0,713;0,068;0,872
SD;0,022;0,019;0,230;0,219;0,018;0,002;0,007